month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2025-06,Texas,34027,0,53684,25423,3248,2835,0,16,10,2,6074,2160,53,221,16,0,0,0,17,18,1,2,0,0,127807
2025-06,Utah,9939,52111,4640,3891,628,1,0,4,6,1,181,164,1,182,28,34,0,0,0,0,0,0,0,0,71811
2025-06,Vermont,1,0,1174,1013,79,77,0,0,0,0,7,5,0,5,3,0,0,0,2,1,0,0,0,0,2367
2025-06,Virgin Islands,150,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,220
2025-06,Virginia,199,50,20947,11625,3060,0,0,0,0,0,0,0,0,544,41,0,0,0,0,0,0,0,0,0,36466
2025-06,Washington,9816,548,11070,5809,493,80,36,0,0,0,406,233,0,585,92,14,0,0,639,322,51,15,18,0,30227
2025-06,West Virginia,1896,107,4000,3922,214,313,0,2,0,0,534,407,0,15,9,1,0,0,5,4,1,1,1,0,11432
2025-06,Wisconsin,19347,768,11410,8641,613,44,0,0,0,3,186,133,10,162,34,7,0,0,0,0,0,0,0,0,41358
2025-06,Wyoming,506,13,1872,1771,131,231,9,0,0,0,146,101,0,38,2,1,0,0,3,8,1,1,0,0,4834
2025-05,Alabama,11091,224,16813,9012,925,870,0,7,2,1,1978,785,7,63,3,0,0,0,4,5,1,2,0,0,41793
2025-05,Alaska,68,194,3182,2333,241,199,0,0,0,0,146,61,2,39,12,0,0,0,0,0,0,0,0,0,6477
2025-05,Arizona,8504,124,16424,7072,1353,868,0,4,2,1,1075,323,17,234,15,0,0,0,5,3,0,0,0,0,36024
2025-05,Arkansas,1770,127,6226,4474,375,425,14,12,3,0,957,620,6,0,0,0,0,0,11,2,1,0,0,0,15023
2025-05,California,26483,11714,36313,17396,3730,0,0,1,0,0,629,441,31,1618,814,98,0,0,7996,3145,593,48,24,1,111075
2025-05,Colorado,10030,5,15204,8421,1847,1437,0,0,0,0,0,0,0,324,41,0,0,0,0,0,0,0,0,0,37309
2025-05,Connecticut,8488,706,5330,1764,198,0,0,0,0,0,75,24,1,87,0,7,0,0,1,1,0,0,0,0,16682
2025-05,Delaware,1261,0,1848,942,94,79,0,0,0,0,18,4,0,51,1,0,0,0,29,8,1,0,0,0,4336
2025-05,District of Columbia,1147,0,283,19,2,7,5,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1487
2025-05,Florida,9200,0,51336,16974,3840,2912,0,51,16,2,3417,798,5,1859,95,4,0,0,251,97,27,61,50,3,90998
2025-05,Georgia,11281,0,16987,7577,819,766,0,7,8,2,1992,682,15,55,6,0,0,0,11,6,1,0,0,0,40215
2025-05,Guam,0,0,198,81,16,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
2025-05,Hawaii,1726,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,1742
2025-05,Idaho,5079,276,5040,4562,418,276,0,1,1,0,311,214,0,112,11,1,0,0,6,13,0,0,0,0,16321
2025-05,Illinois,10198,139334,20984,7730,849,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,179096
2025-05,Indiana,321,24679,16835,8995,1202,973,4,0,1,1,731,256,13,69,4,0,0,0,22,14,3,1,0,0,54124
2025-05,Iowa,2582,3992,2621,2264,155,106,0,0,0,0,44,25,0,193,38,2,0,0,0,4,0,0,0,0,12026
2025-05,Kansas,1639,6,5378,4020,440,364,0,0,1,0,423,144,1,145,10,1,0,0,5,5,0,0,1,0,12583
2025-05,Kentucky,586,278371,9074,6219,502,592,4,7,2,0,1302,705,6,39,8,0,0,0,7,40,2,0,1,0,297467
2025-05,Louisiana,532,0,9721,4912,625,479,0,1,0,0,842,366,10,2,0,0,0,0,12,8,4,0,0,0,17514
2025-05,Maine,444,6,3156,2833,235,232,1,3,0,0,47,38,1,27,7,2,0,0,7,3,0,0,0,0,7042
2025-05,Mariana Islands,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2025-05,Maryland,14497,3780,8480,4556,121,8,0,0,0,0,115,71,3,136,36,6,0,0,0,18,2,0,0,0,31829
2025-05,Massachusetts,13622,1,5406,2254,1219,284,1,0,0,0,18,9,0,1,0,0,0,0,34,21,4,1,0,0,22875
2025-05,Michigan,25788,8394,15312,11693,1246,599,57,0,0,0,29,184,7,462,54,42,0,0,13,7,1,0,0,0,63888
2025-05,Minnesota,10170,40909,8964,8814,617,664,0,2,4,0,193,155,1,104,17,3,0,0,19,24,1,0,1,0,70662
2025-05,Mississippi,1551,0,7264,4135,413,380,0,5,1,1,1360,573,6,16,1,0,0,0,6,3,0,0,0,0,15715
2025-05,Missouri,2168,383,16651,11414,1397,1036,0,6,1,1,1116,480,9,318,44,1,0,0,23,33,2,2,3,0,35088
2025-05,Montana,1095,1,4092,4209,281,352,7,2,4,1,388,390,4,57,18,1,0,0,2,5,2,0,0,0,10911
2025-05,Nebraska,3440,174,127,1092,20,5,0,0,0,0,6,20,1,41,4,0,0,0,0,2,0,0,0,0,4932
2025-05,Nevada,3046,0,5465,2425,297,315,0,1,1,0,264,80,1,1,1,1,0,0,0,0,0,0,40,8,11946
2025-05,New Hampshire,1303,3,5881,2654,420,1,29,0,3,0,0,8,0,191,14,8,0,0,0,0,0,0,0,0,10515
2025-05,New Jersey,0,0,8025,3159,630,0,0,0,0,0,0,0,0,0,0,0,0,0,106,56,10,2,4,0,11992
2025-05,New Mexico,1038,0,4885,2849,426,407,0,0,1,0,247,208,0,31,0,0,0,0,74,26,2,3,1,0,10198
2025-05,New York,2492,2230,10454,8571,576,380,0,0,0,0,43,35,5,74,85,2,13,0,430,295,37,10,11,0,25743
2025-05,North Carolina,11510,207,21467,9281,1110,922,0,20,6,0,2334,763,15,876,107,0,0,1,46,21,0,1,0,0,48687
2025-05,North Dakota,407,5,1644,1953,97,98,0,0,0,0,63,41,1,8,5,0,0,0,5,11,1,0,0,0,4339
2025-05,Ohio,5871,1375,20735,11494,1336,1119,0,2,0,0,1386,433,6,338,55,13,0,0,20,10,1,1,2,0,44197
2025-05,Oklahoma,2515,46,10738,6650,917,838,0,7,3,0,1535,813,11,205,11,1,0,0,11,14,3,0,1,0,24319
2025-05,Oregon,5640,402,13707,9653,1484,6,1,0,0,0,3,3,0,181,28,0,0,0,392,318,25,0,0,0,31843
2025-05,Pennsylvania,25033,0,35907,17660,15,0,224,0,0,0,0,0,0,809,86,2,0,0,0,0,0,0,0,0,79736
2025-05,Puerto Rico,2086,193,3671,390,37,60,0,0,0,0,37,7,0,1,0,0,0,0,1057,108,6,21,2,0,7676
2025-05,Rhode Island,24,0,1150,573,99,148,0,1,0,0,2,4,0,52,16,0,0,0,18,12,0,0,1,0,2100
2025-05,South Carolina,7874,654,11397,4693,867,450,1,8,1,1,854,238,10,267,27,2,0,0,12,14,0,0,0,0,27370
2025-05,South Dakota,679,4,1452,1956,115,98,3,0,0,0,80,73,1,26,6,3,0,0,2,0,0,0,0,0,4498
2025-05,Tennessee,11228,7047,22717,11380,1362,0,3,36,8,0,966,295,0,83,2,0,0,0,0,0,0,0,0,0,55127
2025-05,Texas,39898,0,54013,25311,3425,2728,0,19,10,1,6570,2317,87,252,18,0,0,0,40,35,9,0,2,0,134735
